Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
2005,Mahendragarh / Narnaul,4.15,9.86,2377.62,108.36,419.74,3873.43,2.42,1.16,479.34,2.42,1.16,479.34,211.42,196.13,927.67,0.03,0,0,2.62,9.09,3473.44,32,16.47,514.74,0.62,0.64,1027.01,1.79,0.68,379.74,0.99,0.65,652.57,0.32,0.09,272.73,219.32,276.27,1259.68,220.69,277,1255.14,0.49,3.48,7058.82,32.18,8.82,274.14,0.14,2.04,2.2,0.01,0.16,54.3
2006,Mahendragarh / Narnaul,4.64,10.15,2187.5,127.21,507.92,3992.86,2.52,1.16,459.77,2.52,1.16,459.77,204.67,301.26,1471.89,0,0,0,3.98,13.44,3379.43,27.96,25.24,902.78,0.27,0.27,1017.83,2.03,0.81,399.65,0.59,0.39,659.28,0.35,0.06,166.67,200.22,279.26,1394.77,201.18,279.73,1390.44,0.52,3.02,5777.78,20.62,7.33,355.3,0.14,1.66,1.8,0,0.07,59.34
2007,Mahendragarh / Narnaul,4.99,14.21,2848.84,135.58,503.86,3716.27,1.86,1.45,781.25,1.86,1.45,781.25,209.91,341.14,1625.2,0.03,0,0,4.61,13.15,2849.4,30.94,14.28,461.57,0.58,0.59,1023.3,1.66,0.56,339.04,0.32,0.29,908.23,0.06,0.03,500,182.51,224.95,1232.51,182.92,225.29,1231.69,0.55,3.48,6315.79,13.35,5.66,424.36,0.19,1.68,1.86,0,0.09,74.38
2008,Mahendragarh / Narnaul,7.89,17.4,2205.88,126.32,555.38,4396.51,2.18,1.74,800,2.18,1.74,800,208,357.45,1718.54,0,0,0,6.34,20.69,3263.92,33.26,36.36,1093.24,1.08,0.97,896.32,1.99,0.74,371.64,0.12,0.03,250,0.32,0.06,181.82,190.79,349.03,1829.41,191.22,349.12,1825.71,0.35,1.77,5083.33,10.41,4.28,411.45,0.2,1.39,1.6,0,0.03,46.31
2009,Mahendragarh / Narnaul,7.34,17.11,2332.02,128.4,513.09,3996.15,2.41,1.16,481.93,2.41,1.16,481.93,203.89,319.88,1568.88,0.03,0,0,5.28,18.24,3453.24,20.24,14.18,700.73,0.6,0.66,1110.55,1.85,0.84,454.18,0.09,0.09,1000,0.32,0.15,454.55,190.62,310.59,1629.38,191.04,310.82,1627.03,0.26,2.41,9222.22,10.93,4.83,441.4,0.21,1.6,1.83,0,0.1,61.71
2010,Mahendragarh / Narnaul,8.53,19.72,2312.93,136.05,630.31,4633.1,0.87,0.87,1000,0.87,0.87,1000,227.73,404.16,1774.74,0.03,0,0,4.9,15.76,3215.01,30.88,31.14,1008.48,0,0,0,0,0,0,0.19,0.1,534.76,0.49,0.17,352.94,183.88,348.77,1896.74,184.56,349.04,1891.23,0.32,2.61,8181.82,11.06,6.35,574.3,0.22,2.2,2.42,0,0.13,46.76
2011,Mahendragarh / Narnaul,7.95,21.17,2664.23,126.93,586.3,4619.19,0.78,0.87,1111.11,0.78,0.87,1111.11,217.4,470.31,2163.37,0,0,0,6.27,21.43,3420.59,21.1,20.18,956.35,0,0,0,0,0,0,0.19,0.19,1000,0.35,0.12,333.33,203.48,242.82,1193.32,204.15,243.22,1191.41,0.73,4.64,6400,20.14,11.79,585.6,0.36,1.76,2.12,0,0.18,44.94
2012,Mahendragarh / Narnaul,6.09,17.69,2903.38,128.83,588.67,4569.24,0.45,0,0,0.45,0,0,159.51,318.93,1999.39,0.02,0,0,5.8,21.4,3692.46,15.01,18.41,1226.16,0.55,0.61,1099.39,0.66,5.28,8016.87,0.1,0.11,1071.5,0.22,0.08,357.86,202.35,368.03,1818.75,202.67,368.39,1817.72,0.74,3.71,5019.61,24.17,13.98,578.12,0.3,2.15,2.44,0,0.14,95.7
2013,Mahendragarh / Narnaul,6.38,16.24,2545.45,133.58,628.88,4707.89,1.45,1.16,800,1.45,1.16,800,167.43,383.11,2288.18,0,0,0,5.64,21.27,3771.28,26.76,24.02,897.61,0.42,0.48,1138.42,0.49,0.26,529.41,0.03,0.03,1000,0.2,0.12,571.43,190.37,325.16,1708.04,190.99,325.31,1703.21,0.58,4.38,7550,22.27,11.6,521.07,0.32,1.75,2.07,0,0.06,108.81
2014,Mahendragarh / Narnaul,7.83,13.92,1777.78,156.01,608.94,3903.21,1.45,0.29,200,1.45,0.29,200,168.4,306.22,1818.41,0,0,0,4.93,14.5,2941.18,18.6,11.25,604.84,0,0,0,1.61,0.59,369.47,0,0,0,0,0,0,182.09,271.04,1488.49,181.98,275.22,1512.37,0.58,4.41,7600,36.87,16.9,458.45,0.34,1.87,2.21,0.01,0.16,99.78
2015,Mahendragarh / Narnaul,8.99,20.59,2290.32,147.86,610.68,4130.12,0.58,0.29,500,0.58,0.29,500,158.02,269.56,1705.86,0,0,0,4.06,14.5,3571.43,9.09,5.19,570.96,0,0,0,1.38,0.35,251.63,0.13,0.22,1674.42,0.78,0.41,518.52,181.47,295.17,1626.55,182.38,295.79,1621.83,0,0,0,50.06,17.11,341.7,0.33,1.88,2.21,0,0.03,109.78
2016,Mahendragarh / Narnaul,10.24,21.75,2124.65,144.08,671.29,4659.28,0,0,0,1.22,0.58,476.19,190.77,412.44,2162.02,0,0,0,2.68,9.57,3577.57,16.03,19.94,1244.15,0,0,0,5.5,27.88,5065.03,0.09,0.12,1333.33,0.35,0.46,1333.33,184.57,367.45,1990.8,184.98,368.03,1989.57,1.1,7.25,6578.95,44.08,24.67,559.56,0,0,0,0.29,0,0
2017,Mahendragarh / Narnaul,10.59,25.52,2410.96,139.03,617.32,4440.22,0,0,0,1.13,0.29,257.09,186.69,293.16,1570.31,0.03,0,0,2.7,9.99,3694.53,9.1,8.9,978.45,0,0,0,1.91,16.5,8663.52,0.09,0.09,1000,0.23,0.12,500,188.61,378.14,2004.92,188.92,378.34,2002.61,0,0,0,65.72,30.82,468.97,0,0,0,0,0,0
1966,Ambala,47,40,851.06,94.8,92,970.46,0.9,0.7,777.78,0.9,0.7,777.78,6.2,3.1,500,54,69,1277.78,5,2,400,64,36,562.5,4.8,3.8,791.67,5.59,-1,-1,10.8,10.8,1000,1.2,0.5,416.67,8,4,500,17.15,-1,-1,32.7,116,3547.4,5.5,0.8,145.45,2.15,2.98,5.13,0.52,0.38,37.04
1967,Ambala,47.7,47,985.32,121.7,151,1240.76,1.8,1.2,666.67,1.8,1.2,666.67,5.9,3.1,525.42,71,78,1098.59,8,8,1000,64,55,859.38,5.5,5.6,1018.18,4.2,-1,-1,13.6,16.3,1198.53,1.2,0.4,333.33,6,4,666.67,22.36,-1,-1,31.7,97,3059.94,6.6,1,151.52,1.15,1.85,3.01,0.27,0.08,44.83
1968,Ambala,51.9,55,1059.73,130.4,166.1,1273.77,0.9,0.5,555.56,0.9,0.5,555.56,5.3,1.1,207.55,66,63,954.55,3.7,4.7,1270.27,52,31,596.15,6.7,2.3,343.28,5.75,-1,-1,14.9,8.9,597.32,0.8,0.3,375,4.2,1.6,380.95,18.46,-1,-1,32.6,87,2668.71,5.5,0.8,145.45,2.38,2.02,4.4,0.49,0.27,40.14
1969,Ambala,45.8,58,1266.38,139,258,1856.12,1.3,0.8,615.38,1.3,0.8,615.38,7.2,4.1,569.44,71.8,97,1350.97,3.2,4.6,1437.5,60.4,64,1059.6,8.8,3.8,431.82,7.17,7.2,1004.18,11.2,9,803.57,1.3,0.5,384.62,6.2,1.6,258.06,16.44,10.8,656.93,32.7,134,4097.86,3.9,0.6,153.85,2.21,2.69,4.9,0.45,0.26,40.27
1970,Ambala,48,54,1125,169,283,1674.56,1.1,0,0,1.1,0,0,7.2,7.1,986.11,89,95,1067.42,4,5,1250,35.5,25,704.23,7.2,2.9,402.78,15.98,-1,-1,9.7,7.6,783.51,0.6,0.2,333.33,3.9,1,256.41,14.27,-1,-1,22,87,3954.55,2,0.4,200,2.35,2.81,5.16,0.58,0.35,40.57
1971,Ambala,55,84,1527.27,165,286,1733.33,1.2,0,0,1.2,0,0,3.7,3.1,837.84,76,90,1184.21,3,4,1333.33,43,33,767.44,4.1,1.6,390.24,17.25,-1,-1,8.1,6.6,814.81,0.4,0.1,250,4.1,1,243.9,12.92,-1,-1,22,92,4181.82,2.1,0.5,238.1,2.19,3.25,5.44,0.8,0.34,41.67
1972,Ambala,55.4,71,1281.59,162.4,239,1471.67,1.3,0,0,1.3,0,0,6.2,3.1,500,80,96,1200,3,2.5,833.33,42.2,39,924.17,4.6,1.8,391.3,22.54,6.4,283.94,7.1,5.7,802.82,0.4,0.1,250,5.3,2,377.36,13.25,7.9,596.23,22,113,5136.36,2.3,0.5,217.39,2.21,3.72,5.93,0.89,0.4,44.46
1973,Ambala,56.9,91,1599.3,161.4,225,1394.05,1.8,0,0,1.8,0,0,5.4,4.1,759.26,78,97,1243.59,4,2,500,45,34,755.56,4.9,2.6,530.61,19.99,-1,-1,7.2,11.5,1597.22,0.5,0.2,400,5.8,1,172.41,13.96,-1,-1,26,101,3884.62,1.6,0.4,250,2.1,3.7,5.8,1.44,0.47,47.7
1974,Ambala,49.9,42,841.68,158.8,252,1586.9,2.5,0,0,2.5,0,0,5.5,1.1,200,81,104,1283.95,10,7,700,40.8,23,563.73,2.1,2.3,1095.24,17.68,-1,-1,9.7,7.5,773.2,0.8,0.2,250,9.5,3,315.79,20.8,-1,-1,31,110,3548.39,1.4,0.2,142.86,2.08,5.44,7.51,2.85,0.57,46.6
1975,Ambala,58.5,108,1846.15,162.6,292,1795.82,0.8,0,0,0.8,0,0,4.9,3,612.24,88,110,1250,8,8,1000,39.1,28,716.11,5.4,0,0,13.58,-1,-1,10,11,1100,0.5,0.2,400,5.9,2,338.98,16.87,-1,-1,29,120,4137.93,2.1,0.4,190.48,1.45,5.17,6.62,2.59,0.53,46.77
1976,Ambala,50.8,91,1791.34,105.5,173,1639.81,0.5,0,0,0.5,0,0,4.6,3,652.17,49.4,56,1133.6,4,3,750,36.1,32,886.43,4.8,0,0,11.73,16.2,1381.07,9.6,9.6,1000,0.3,0.1,333.33,4.3,2,465.12,14.01,12.2,870.81,30,130,4333.33,2.2,0.4,181.82,1.79,5.17,6.96,2.45,0.47,46.43
1977,Ambala,52.5,106,2019.05,96.7,174,1799.38,0.4,0,0,0.4,0,0,4.4,1,227.27,44,55,1250,3,3,1000,39,30,769.23,7,0.6,85.71,15.93,15.4,966.73,7.2,8.6,1194.44,0.6,0.2,333.33,6.9,3,434.78,15.72,-1,-1,36,196,5444.44,2,0.4,200,1.37,6.98,8.34,3.66,0.57,47.24
1978,Ambala,60.9,144,2364.53,108.4,207,1909.59,0.2,0,0,0.2,0,0,3.2,2,625,37.5,34,906.67,3,4,1333.33,36,27,750,5.3,6.1,1150.94,14.78,9.8,663.06,7.1,8.5,1197.18,0.2,0.1,500,6.3,1,158.73,14.31,-1,-1,36,166,4611.11,3,0.5,166.67,1.06,9.15,10.21,5.59,0.55,44.98
1979,Ambala,69,95,1376.81,109,185,1697.25,0,0,0,0,0,0,4,1,250,38,27,710.53,2,1,500,23,11,478.26,4.7,4.7,1000,9.8,-1,-1,5.2,5.7,1096.15,0.3,0.1,333.33,5,2,400,11.24,-1,-1,28,121,4321.43,3,0.7,233.33,0.81,7.1,7.9,3.78,0.56,44.32
1980,Ambala,66,137,2075.76,112,231,2062.5,0,0,0,0,0,0,5,2,400,39,53,1358.97,3,5,1666.67,28,20,714.29,6.9,8.3,1202.9,17.84,7.2,403.59,5.9,5.8,983.05,0.3,0.1,333.33,6,3,500,14.23,11.9,836.26,27,108,4000,3,0.8,266.67,0.64,7.7,8.34,4.13,0.46,45.8
1981,Ambala,68,131,1926.47,124,256,2064.52,0,0,0,0,0,0,4,2,500,38,41,1078.95,4,5,1250,20,1,50,5,2,400,16.17,-1,-1,6.6,5.8,878.79,0.5,0.2,400,6,3,500,15.57,10.7,687.22,33,136,4121.21,3,0.9,300,0.81,8.25,9.06,4.78,0.53,44.56
1982,Ambala,61,119,1950.82,118,255,2161.02,0,0,0,0,0,0,4,3,750,30,29,966.67,3,3,1000,6,2,333.33,2.4,6.1,2541.67,10.67,-1,-1,5.7,3.7,649.12,0.4,0.2,500,6,3,500,13.34,-1,-1,37,166,4486.49,5,1.4,280,1.04,6.2,7.24,3.15,0.41,46.09
1983,Ambala,65,162,2492.31,138,288,2086.96,0,0,0,0,0,0,4,3,750,33,47,1424.24,3,3,1000,7,4,571.43,3.3,8.3,2515.15,10.36,-1,-1,4.7,3.3,702.13,0.5,0.2,400,6,5,833.33,11.3,-1,-1,35,180,5142.86,5,0.9,180,0.86,6.39,7.25,3.2,0.66,45.8
1984,Ambala,71,162,2281.69,123,220,1788.62,0,0,0,0,0,0,4,3,750,34,48,1411.76,1,1,1000,6,2,333.33,2.3,5.8,2521.74,10.67,-1,-1,4.2,3,714.29,0.4,0.2,500,5,2,400,11.46,-1,-1,34,143,4205.88,2,0.3,150,1.04,8.93,9.97,4.35,1.5,49.31
1985,Ambala,75,199,2653.33,129,335,2596.9,0,0,0,0,0,0,3,1,333.33,30,39,1300,2,3,1500,10,8,800,6.5,9.1,1400,13.13,6.8,517.9,3,2.7,900,0.4,0.2,500,13,10,769.23,19.07,15.1,791.82,30,163,5433.33,2,0.5,250,0.86,7.68,8.54,3.24,1.52,51.75
1986,Ambala,78,200,2564.1,132,302,2287.88,0,0,0,0,0,0,2,1,500,31,44,1419.35,2,3,1500,12,9,750,13.4,19.5,1455.22,4.34,-1,-1,3.3,4.8,1454.55,0.3,0.1,333.33,7,4,571.43,11.15,-1,-1,34,184,5411.76,1,0.2,200,0.62,6.06,6.68,2.8,0.44,51.73
1987,Ambala,51,121,2372.55,126,282,2238.1,0,0,0,0,0,0,5,1,200,24,23,958.33,1,1,1000,7,2,285.71,3.8,5.1,1342.11,8.77,-1,-1,2.7,1.6,592.59,0.1,0,0,12,7,583.33,15.66,-1,-1,38,163,4289.47,2,0.3,150,1.1,7.86,8.97,2.75,1.12,51.9
1988,Ambala,76,195,2565.79,134,424,3164.18,0,0,0,0,0,0,3,4,1333.33,27,27,1000,1,2,2000,8,5,625,6.5,9.4,1446.15,9.4,4.4,468.09,2.2,1.5,681.82,0.3,0.1,333.33,7,4,571.43,13.3,7.8,586.47,38,198,5210.53,1,0.2,200,0.86,8.17,9.03,3.3,1.35,53.16
1989,Ambala,126,379,3007.94,216,546,2527.78,0,0,0,0,0,0,3,3,1000,33,54,1636.36,1,2,2000,8,5,625,3.7,5.2,1405.41,11.3,6.3,557.52,2.3,1.8,782.61,0.3,0.1,333.33,7,5,714.29,7.9,4.7,594.94,44,256,5818.18,1,0.3,300,0.78,7.46,8.23,3.62,0.85,-1
1990,Ambala,102.7,286,2784.81,150.6,452,3001.33,0.2,0,0,0.2,0,0,2,2,1000,25.1,37,1474.1,1.8,4,2222.22,9,5,555.56,4.3,5.4,1255.81,10.5,4.7,447.62,2.1,1.6,761.9,0.5,0.1,200,7,5,714.29,10,6.8,680,55.1,302,5480.94,1,0.17,170,0.98,7.89,8.87,2.95,0.91,0
1991,Ambala,98.1,285,2905.2,139.6,400,2865.33,0.1,0,0,0.1,0,0,2.9,2,689.66,21.4,37,1728.97,0.8,2,2500,3.7,2,540.54,2.7,3.3,1222.22,7.5,3.2,426.67,1.5,1.2,800,0.4,0.1,250,5.5,4,727.27,13.3,14.5,1090.23,55.9,326,5831.84,0.8,0,0,0.81,8.77,9.58,3.33,0.9,0
1992,Ambala,104.8,288,2748.09,167.9,487,2900.54,0.1,0,0,0.1,0,0,3.3,4,1212.12,24.2,43,1776.86,0.6,0,0,3.3,2,606.06,2.6,3.2,1230.77,7.2,3,416.67,1.2,0.9,750,0.4,0.1,250,5.5,5,909.09,13.7,17.9,1306.57,49.4,243,4919.03,0.7,0,0,1.17,9.74,10.91,3.61,2,0
1993,Ambala,110.2,303,2749.55,156.9,450,2868.07,0,0,0,0,0,0,3.7,2,540.54,23.1,28,1212.12,0.5,0,0,3.3,3,909.09,2.4,2.9,1208.33,7.7,3.1,402.6,1.1,0.8,727.27,0.4,0.1,250,9.3,9,967.74,18,22.5,1250,46.6,272,5836.91,0.7,0,0,0.93,9.92,10.85,3.81,1.08,0
1994,Ambala,111.9,338,3020.55,145,423,2917.24,0,0,0,0,0,0,3.1,6,1935.48,22.1,38,1719.46,0.5,0,0,2.5,3,1200,2.6,3.5,1346.15,6.9,3.5,507.25,1.3,1.1,846.15,0.4,0.1,250,6.5,7,1076.92,22.6,31.8,1407.08,48.7,280,5749.49,0.5,0,0,0.8,9.93,10.72,3.2,2.11,0
1995,Ambala,111.7,286,2560.43,143.7,450,3131.52,0,0,0,0,0,0,2.9,2,689.66,21.5,38,1767.44,0.4,0,0,3,4,1333.33,0,0,0,0,0,0,1.1,0.9,818.18,0.2,0.1,500,6.8,6,882.35,19.2,23.9,1244.79,54,322,5962.96,0.5,0,0,0.79,9.61,10.4,3.7,2.11,0
1996,Ambala,113.5,355,3127.75,141.9,487,3431.99,0,0,0,0,0,0,3.1,4,1290.32,21.8,36,1651.38,0.2,0,0,2.4,3,1250,0,0,0,0,0,0,0.8,0.6,750,0.1,0.1,1000,6.8,7,1029.41,21.1,21.5,1018.96,57,335,5877.19,0.5,0,0,0.8,9.2,9.99,4.06,1.48,0
1997,Ambala,125.3,366,2920.99,150,477,3180,0,0,0,0,0,0,2.7,3,1111.11,20.9,40,1913.88,0.3,0,0,2.3,3,1304.35,1.4,2.2,1571.43,8,4.8,600,0.6,0.5,833.33,0.1,0.1,1000,5.7,4,701.75,12.6,12.3,976.19,53.2,303,5695.49,0.4,0,0,0.65,8.46,9.11,4.5,0.9,0
1998,Ambala,135,332,2459.26,157,579,3687.9,0,0,0,0,0,0,2,2,1000,18,35,1944.44,0,0,0,2,2,1000,1,1,1000,9,5,555.56,0,0,0,0,0,0,3,3,1000,8,10,1250,56,313,5589.29,0,0,0,0.45,8.4,8.84,4.34,1.09,43.58
1999,Ambala,133.4,384,2878.56,158.4,627,3958.33,0,0,0,0,0,0,2,2,1000,17.1,42,2456.14,0.9,3,3333.33,1.6,1,625,0.6,0.5,833.33,6.2,3.7,596.77,0.3,0.2,666.67,0.1,0,0,4.4,5,1136.36,6.8,7.8,1147.06,56.9,324,5694.2,0,0,0,0.86,8.55,9.4,4.27,1.14,44.86
2000,Ambala,133.6,399,2986.53,157.3,549,3490.15,0,0,0,0,0,0,2.2,1,454.55,13.3,30,2255.64,0.1,0,0,1.3,1,769.23,1.3,0.7,538.46,5.2,3.4,653.85,0.2,0.1,500,0.1,0,0,3.5,3,857.14,4.7,4,851.06,60.4,343,5678.81,0,0,0,0.7,7.39,8.1,2.94,1.43,41.03
2001,Ambala,135.6,414,3053.1,161.6,587,3632.43,0,0,0,0,0,0,1.7,1,588.24,15.3,41,2679.74,0,0,0,0.7,1,1428.57,0.8,0.7,875,5.5,3.5,636.36,0.2,0.1,500,0,0,0,4.1,4,975.61,5,4.8,960,62.7,355,5661.88,0,0,0,0.64,8.7,9.35,2.9,1.69,43.92
2002,Ambala,117.4,350,2981.26,161.1,566,3513.35,0,0,0,0,0,0,2.1,2,952.38,13.9,27,1942.45,0,0,0,1,1,1000,0.5,0.5,1000,7.2,3.9,541.67,0.2,0.2,1000,0.1,0,0,4.8,5,1041.67,6.1,6.4,1049.18,64.4,385,5978.26,0,0,0,0.51,7.73,8.24,3.57,0.23,45.07
2003,Ambala,136.9,420,3067.93,172.4,559,3242.46,0,0,0,0,0,0,1.6,4,2500,14.3,37,2587.41,0.1,0,0,0.8,1,1250,0.8,0.4,500,5.9,3.4,576.27,0.1,0.1,1000,0.1,0,0,4.4,4,909.09,7.6,8.7,1144.74,57.9,343,5924.01,0,0,0,0.79,8.83,9.63,2.91,1.85,41.02
2004,Ambala,139.08,442,3178.03,172.09,551,3201.81,0,0,0,0,0,0,1.8,4,2222.22,14.32,37,2583.8,0.07,0,0,1.02,1,980.39,0.15,0.1,666.67,6.03,3.6,597.01,0.2,0.1,500,0.07,0,0,5.12,5,976.56,8.5,10.2,1200,51.88,348,6707.79,0.02,0,0,0.7,9.9,10.61,3.52,1.2,42.28
2005,Ambala,142,471,3316.9,172.3,611,3546.14,0,0,0,0,0,0,1.9,2,1052.63,15.9,34,2138.36,0,0,0,0.93,1,1075.27,0.1,0.21,2100,5.38,2.89,537.17,0.2,0.1,500,0.2,0.1,500,5.8,5.9,1017.24,14.6,19.9,1363.01,54.2,356,6568.27,0,0,0,0.67,14.66,15.33,4.7,1.37,39.57
2006,Ambala,142.4,502,3525.28,169.9,647,3808.12,0,0,0,0,0,0,1.8,4,2222.22,12.2,30,2459.02,0,0,0,0.6,0,0,0.06,0.1,1666.67,5.44,2.9,533.09,0.1,0.1,1000,0.2,0,0,5.1,7,1372.55,9.3,13.4,1440.86,57.2,387.2,6769.23,0,0,0,0.35,10.66,11.01,4.5,0.98,43.24
2007,Ambala,141.6,524,3700.57,172.4,647,3752.9,0,0,0,0,0,0,1.5,4,2666.67,12.1,32,2644.63,0.1,0,0,0.5,0,0,0.04,0.04,1000,5.36,2.66,496.27,0.1,0.1,1000,0.2,0,0,3.7,4,1081.08,7.7,10.9,1415.58,57.8,334,5778.55,0,0,0,0.52,9.05,9.57,2.3,1.43,42.12
2008,Ambala,161.5,512,3170.28,183.9,693,3768.35,4.6,3,652.17,4.6,3,652.17,1.9,4,2105.26,10.5,22.8,2171.43,0.1,0,0,0.9,1,1111.11,0.06,0,0,5.34,2.8,524.34,0.1,0.1,1000,0.1,0,0,5.5,10,1818.18,7.2,12.6,1750,40.3,214.4,5320.1,0,0,0,0.28,10.54,10.81,3.56,1.63,33.79
